Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP,Fox Insight
Diagnosis,NCIT:C15220,"The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.","Diagnosed, DIAGNOSIS, Diagnosis, diagnosis, Diagnostic, Dx",DIAGNOSIS,APPRDX,adiag_final_diagnosis,pdenrl,,,4234469,
MoCA - Visuoconstructional Skills (Cube),NCIT:C162709,"A subtest of Montreal Cognitive Assessment (MoCA). The subject will receive one point if the following criteria hold: drawing must be three-dimensional, all lines are drawn, no line is added, and lines are relatively parallel and their length is similar (rectangular prisms are accepted). A point is not assigned if any of the above criteria are not met.","Montreal Cognitive Assessment Visuospatial/Executive Test, Visuospatial/Executive",MCACUBE,MCACUBE,moca_neckercube_total_score,MCACUBE,,,,FIVEMOCA2
MoCA - Visuoconstructional Skills (Clock Cont),,"A subtest of Montreal Cognitive Assessment (MoCA). The examiner instructs the subject: ""Draw a clock. Put in all the numbers and set the time to 10 past 11"". The subject will receive one point if the following criterion holds: ""The clock face must be a circle with only minor distortion acceptable (e.g., slight imperfection on closing the circle).""",,MCACLCKC,MCACLCKC,question62_62,MCACLCKC,,,,FIVEMOCA3a
MoCA - Visuoconstructional Skills (Clock Num),,"A subtest of Montreal Cognitive Assessment (MoCA). The examiner instructs the subject: ""Draw a clock. Put in all the numbers and set the time to 10 past 11"". The subject will receive one point if the following criterion holds: ""All clock numbers must be present with no additional numbers; numbers must be in the correct order and placed in the approximate quadrants on the clock face; Roman numerals are acceptable; numbers can be placed outside the circle contour.""",,MCACLCKN,MCACLCKN,question63_63,MCACLCKN,,,,FIVEMOCA3b
MoCA - Visuoconstructional Skills (Clock Hands),,"A subtest of Montreal Cognitive Assessment (MoCA). The examiner instructs the subject: ""Draw a clock. Put in all the numbers and set the time to 10 past 11"". The subject will receive one point if the following criterion holds: ""There must be two hands jointly indicating the correct time; the hour hand must be clearly shorter than the minute hand; hands must be centred within the clock face with their junction close to the clock centre.""",,MCACLCKH,MCACLCKH,question64_64,MCACLCKH,,,,FIVEMOCA3c
MoCA - Naming (Lion),NCIT:C162710,A subtest of Montreal Cognitive Assessment (MoCA). The subject needs to name the animal in the pictures from left to right. One point is given for each correct answer (lion in this case).,"Naming, Montreal Cognitive Assessment Naming Test",,MCALION,question66_66,MCALION,,,,FIVEMOCA4a
MoCA - Naming (Rhino),NCIT:C162710,A subtest of Montreal Cognitive Assessment (MoCA). Subject needs to name the animal in the pictures from left to right. One point is given for each correct answer (rhino in this case).,"Naming, Montreal Cognitive Assessment Naming Test",MCARHINO,MCARHINO,question67_67,MCARHINO,,,,FIVEMOCA4b
MoCA - Naming (Camel),NCIT:C162710,A subtest of Montreal Cognitive Assessment (MoCA). Subject needs to name the animal in the pictures from left to right. One point is given for each correct answer (camel in this case).,"Naming, Montreal Cognitive Assessment Naming Test",,MCACAMEL,question68_68,MCACAMEL,,,,FIVEMOCA4c
MoCA - Digit Span Test (Forward),NCIT:C162711,"A subtest of Montreal Cognitive Assessment (MoCA). The examiner gives the following instruction: ""I am going to say some numbers and when I am through, repeat them to me exactly as I said them"" and reads the five number sequence at a rate of one digit per second. The subject will receive a point for each correctly repeated sequence.",Digit Span Forward Subtest (WAIS-IV),MCAFDS,MCAFDS,digitsf_score,MCAFDS,,,,FIVEMOCA5a
MoCA - Digit Span Test (Backward),NCIT:C162711,A subtest of Montreal Cognitive Assessment (MoCA). The subject is tasked with repeating the three-number sequence the examiner read in reverse order. The subject will receive a point for each correctly repeated sequence.,Digit Span Backward Subtest (WAIS-IV),MCABDS,MCABDS,digitsr_score,MCABDS,,,,FIVEMOCA5b
MoCA - Vigilance,NCIT:C162712,A subtest of Montreal Cognitive Assessment (MoCA). This test involves acknowledging spoken letters.,"Montreal Cognitive Assessment Attention - Letters Test, Attention - Letters",MCAVIGIL,MCAVIGIL,question85_85,M16VIGIL,,,,FIVEMOCA5c
MoCA - Serial 7s,NCIT:C162713,"A subtest of Montreal Cognitive Assessment (MoCA). The subject is tasked with subtracting 7s from 100 until the examiner prompts them to stop. The subject will receive 0 points for no correct subtractions, 1 point for one correction subtraction, 2 points for two-to-three correct subtractions, and 3 points if the participant successfully makes four or five correct subtractions","Montreal Cognitive Assessment Attention - Subtraction Test, Attention - Subtraction",MCASER7,MCASER7,question91_91,MCASER7,,,,FIVEMOCA5d
MoCA - Sentence Repetition,NCIT:C162714,A subtest of Montreal Cognitive Assessment (MoCA). This task consists of repeating two sentences correctly.,"Language - Repeat, Montreal Cognitive Assessment Language - Repeat Test",MCASNTNC,MCASNTNC,question94_94,MCASNTNC,,,,FIVEMOCA6
