Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP,UMLS,Fox Insight,DATATOP,PINE,UK Biobank,PostCEPT,SPARX,Rank
Depression,NCIT:C2982,A melancholy feeling of sadness and despair.,"depression, Depression",DEPRS,DEPRS,question270_270,DEPRS,,u_13_depression,45878997,C0011570,FIVENeuroHxTypeDepress,F2000_7,Depression,"20510-0.0, 29003-0.0",CBQ6,depression,1
Stroke,NCIT:C3390,A sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event.,"Stroke Syndrome, Cerebrovascular Accident, Cerebral Infarction, Stroke, CVA, UNDETERMINED STROKE, stroke, Stroke/CVA",STROKE,STROKE,question210_210,STRKSTPD,history_stroke,history_stroke,36210384,C0038454,StrokeDia,,,,,stroke,1
Parkinson's Disease,NCIT:C26845,"A progressive degenerative disorder of the central nervous system characterized by loss of dopamine producing neurons in the substantia nigra and the presence of Lewy bodies in the substantia nigra and locus coeruleus. Signs and symptoms include tremor which is most pronounced during rest, muscle rigidity, slowing of the voluntary movements, a tendency to fall back, and a mask-like facial expression.","Parkinson's disease, Parkinson's Disease, Parkinson Disease",,PARKISM,question803_803,pdenrl,,,381270,C0030567,InitPDDiag,,,,,,1
Diabetes,NCIT:C2985,A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,"Diabetes_Mellitus, Diabetes, Diabetes Mellitus, DM, diabetes, diabetes mellitus",,,question212_212,,history_diabetes,history_diabetes,45879799,C0011849,DiabetesDia,,DiabetesbeforeBL,"2443-0.0, 2443-1.0, 2443-2.0, 2443-3.0",,diabetes,1
Anxiety,MONDO:0011918,"A feeling of worry, nervousness, or unease about something with an uncertain outcome.",,FEATANXITY,,question216_216,,,u_14_anxiety,441542,C0003467,AnxietyDia,F1300_22,,29154-0.0,,psych,1
Bipolar,NCIT:C34423,"A disorder of the brain that causes unusual shifts in mood, energy, activity levels and the ability to carry out day-to-day tasks. Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.","Manic-Depression, Manic Depressive Disorder, Bipolar Disorder",,,question216_216,,,,4128935,C0443156,BipolarDia,,,,,,1
Schizophrenia,NCIT:C3362,"A major psychotic disorder characterized by abnormalities in the perception or expression of reality. It affects the cognitive and psychomotor functions. Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.","Schizophrenia, schizophrenia",,,question216_216,,,,435783,C0036341,FinSocDiagSchizoph,,,,,,1
Cancer,NCIT:C9305,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas, Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.","Malignant Tumor, Cancer, cancer, NEOPLASM, MALIGNANT, Unclassified tumor, malignant, Tumor, NOS, CA, Malignant Growth, Malignancy, Malignant Neoplasm, malignancy, Neoplasm, Malignant Neoplastic Disease",,,question211_211,,,,45877275,C0006826,FIVECancerHx,,,"2453-0.0, 2453-1.0, 2453-2.0, 2453-3.0",,,1
Lung Cancer,MONDO:0008903,A malignant neoplasm involving the lung.,,,,,,history_lung,history_lung,35820498,C0242379,FIVECancerHxTypeLung,,,22140-0.0,,,1
Colon Cancer,HP:0003003,A malignant neoplasm involving the colon.,Colon cancer,,,,,history_bowel,history_bowel,45877391,C0007102,FIVECancerHxTypeCol,,,,,,1
