Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP,UMLS,Fox Insight,DATATOP,PINE,UK Biobank,PostCEPT,SPARX,Rank
Chickenpox,VO:0000669,A Herpesvirus vaccine that is used against Varicella-zoster virus infection.,,VAX_CHICKENPOX,,,,,,,C0078048,,,,,,,1
SARS-CoV-2 first dosage,VO:0004908,A coronavirus vaccine against the infection of SARS-CoV-2 (cause of COVID-19),,VAX_COVID1,,covid19_vaccine_yn,,,,,C5400806,,,,"27983-0.0, 27983-1.0",,,1
SARS-CoV-2 second dosage,VO:0004908,A coronavirus vaccine against the infection of SARS-CoV-2 (cause of COVID-19),,VAX_COVID2,,,,,,,C5400806,,,,"27985-0.0, 27985-1.0",,,1
SARS-CoV-2 booster dosage,VO:0004908,A coronavirus vaccine against the infection of SARS-CoV-2 (cause of COVID-19),,VAX_COVIDB,,,,,,,C5400806,,,,,,,1
Diphtheria,VO:0000508,A diphtheria vaccine that uses diphtheria toxoid,,VAX_DIPTHERIA,,,,,,,,,,,,,,1
Influenza,VO:0003495,An influeanza vaccine that protect against infection by influenza viruses.,,VAX_FLU,,,,,,36716979,C0021403,,,,,,,1
Hepatitis A,VO:0000646,A viral vaccine that protects against infection with Hepatitis A virus.,,VAX_HEPA,,,,,,36717321,C0170300,,,,,,,1
Hepatitis B,VO:0000644,A viral vaccine that protects against infection with Hepatitis B virus.,,VAX_HEPB,,,,,,36717309,C2240392,,,,,,,1
MMR,VO:0000731,A Measles-Mumps vaccine that also protects against infection with Rubella virus.,,VAX_MMR,,,,,,37016201,C0065828,,,,,,,1
Shingles,VO:0000669,A Herpesvirus vaccine that is used against Varicella-zoster virus infection.,,VAX_SHINGLES,,,,,,,C1720918,,,,,,,1
Tuberculosis (BCG),VO:0000771,BCG Vaccine is a Mycobacterium tuberculosis vaccine that is a live attenuated strain of Mycobacterium bovis (Bacillus Calmette Guerin; BCG).,,VAX_TB,,,,,,,C0041305,,,,,,,1
Pertussis (Tdap),VO:0003180,"A vaccine that protects adolescents and adults from tetanus, diphtheria, and pertussis.",,VAX_TDAP,,,,,,37207723,C0031237,,,,,,,1
Tetanus,VO:0003396,A clostridium tetani vaccine that consists of formaldehyde inactivated tetanospasmin (aka tetanus toxoid).,,VAX_TETANUS,,,,,,36712922,C0039620,,,,,,,1
Yellow Fever,VO:0000123,A viral vaccine that protects against infection with Yellow fever virus.,,VAX_YELLOWFEVER,,,,,,37207732,C0301508,,,,,,,1
