Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP
APOE,NCIT:C105362,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.","APOE*4 Allele, APOE-epsilon4 Allele, APOE4 Allele, Apolipoprotein E*4 Allele, Apolipoprotein E4 Allele, NM_000041.2:c.388T>C, NM_000041.2:c.388T>C,526C>C",APOE,,,,,,40773017.0
APOE Allele 1,NCIT:C105362,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.","APOE*4 Allele, APOE-epsilon4 Allele, APOE4 Allele, Apolipoprotein E*4 Allele, Apolipoprotein E4 Allele, NM_000041.2:c.388T>C, NM_000041.2:c.388T>C,526C>C",APOE,,,,,,40773017.0
APOE Allele 2,NCIT:C105362,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.","APOE*4 Allele, APOE-epsilon4 Allele, APOE4 Allele, Apolipoprotein E*4 Allele, Apolipoprotein E4 Allele, NM_000041.2:c.388T>C, NM_000041.2:c.388T>C,526C>C",APOE,,,,,,40773017.0
APOE e4,NCIT:C105362,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.","APOE*4 Allele, APOE-epsilon4 Allele, APOE4 Allele, Apolipoprotein E*4 Allele, Apolipoprotein E4 Allele, NM_000041.2:c.388T>C, NM_000041.2:c.388T>C,526C>C",APOE,,,,,,36307729.0
Diagnosis,NCIT:C15220,"The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.","Diagnosed, DIAGNOSIS, Diagnosis, diagnosis, Diagnostic, Dx",DIAGNOSIS,APPRDX,adiag_final_diagnosis,pdenrl,,,4234469.0
MoCA - Visuoconstructional Skills (Cube),NCIT:C162709,"A subtest of Montreal Cognitive Assessment (MoCA). The subject will receive one point if the following criteria hold: drawing must be three-dimensional, all lines are drawn, no line is added, and lines are relatively parallel and their length is similar (rectangular prisms are accepted). A point is not assigned if any of the above criteria are not met.","Montreal Cognitive Assessment Visuospatial/Executive Test, Visuospatial/Executive",MCACUBE,MCACUBE,moca_neckercube_total_score,MCACUBE,,,
MoCA - Visuoconstructional Skills (Clock Cont),,"A subtest of Montreal Cognitive Assessment (MoCA). The examiner instructs the subject: ""Draw a clock. Put in all the numbers and set the time to 10 past 11"". The subject will receive one point if the following criterion holds: ""The clock face must be a circle with only minor distortion acceptable (e.g., slight imperfection on closing the circle).""",,MCACLCKC,MCACLCKC,question62_62,MCACLCKC,,,
MoCA - Visuoconstructional Skills (Clock Num),,"A subtest of Montreal Cognitive Assessment (MoCA). The examiner instructs the subject: ""Draw a clock. Put in all the numbers and set the time to 10 past 11"". The subject will receive one point if the following criterion holds: ""All clock numbers must be present with no additional numbers; numbers must be in the correct order and placed in the approximate quadrants on the clock face; Roman numerals are acceptable; numbers can be placed outside the circle contour.""",,MCACLCKN,MCACLCKN,question63_63,MCACLCKN,,,
MoCA - Visuoconstructional Skills (Clock Hands),,"A subtest of Montreal Cognitive Assessment (MoCA). The examiner instructs the subject: ""Draw a clock. Put in all the numbers and set the time to 10 past 11"". The subject will receive one point if the following criterion holds: ""There must be two hands jointly indicating the correct time; the hour hand must be clearly shorter than the minute hand; hands must be centred within the clock face with their junction close to the clock centre.""",,MCACLCKH,MCACLCKH,question64_64,MCACLCKH,,,
MoCA - Naming (Lion),NCIT:C162710,A subtest of Montreal Cognitive Assessment (MoCA). The subject needs to name the animal in the pictures from left to right. One point is given for each correct answer (lion in this case).,"Naming, Montreal Cognitive Assessment Naming Test",,MCALION,question66_66,MCALION,,,
