Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP,UMLS,Fox Insight,DATATOP,PINE,UK Biobank,PostCEPT,SPARX,Rank
APOE Gene Genotype,NCIT:C84468,This gene is involved in lipid transport and metabolism.,"APOE Gene, APOE, Apolipoprotein E Gene",APOE,,,,,,40773017,C1370080,APOE,,,,NPAPOE,,1
APOE Gene Allele 1,,"The first allele of the human APOE gene, commonly referenced in genetic research and clinical studies, representing one of the two alleles inherited from a person's parents. It plays a cruical role in lipid metabolism and is associated with various health conditions, including cardiovascular and neurodegenerative diseases.",,APOE,,,,,,3031465,C1370076,APOE,,,,NPAPOE,,1
APOE Gene Allele 2,,"The second allele of the human APOE gene, commonly referenced in genetic research and clinical studies, representing one of the two alleles inherited from a person's parents. It plays a cruical role in lipid metabolism and is associated with various health conditions, including cardiovascular and neurodegenerative diseases.",,APOE,,,,,,3032354,C1370077,APOE,,,,NPAPOE,,1
APOE e4,NCIT:C105362,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.","APOE*4 Allele, APOE-epsilon4 Allele, APOE4 Allele, Apolipoprotein E*4 Allele, Apolipoprotein E4 Allele, NM_000041.2:c.388T>C, NM_000041.2:c.388T>C,526C>C",APOE,,,,,,36307729,C5700359,APOE,,,,NPAPOE,,1
Pathogenic GBA,,"Pathogenic variants in the glucocerebrosidase (GBA) gene are genetic alterations that impair the gene's function, making them the most common genetic risk factor for Parkinson's disease (PD). These variants are associated with an increased risk of developing PD and influence disease progression and severity.",,GBA_PATHVAR,,control_q7,,,,3041019,C2318345,,,,,,,1
Pathogenic LRRK2,,"Pathogenic mutations in the LRRK2 gene, which result in aberrantly enhanced kinase activity, represent the most common genetic cause of Parkinson's disease (PD). These mutations contribute to neurodegenerative processes through disrupted cellular signaling and protein regulation.",,LRRK2_PATHVAR,,control_q7,lrrk2sub,,,3050582,C3836913,,,,,,,1
TDP-43 Proteinopathies,OMIT:0026896,"TDP-43 proteinopathies encompass a wide range of neurodegenerative diseases and phenotypes, which may be inherited in a Mendelian pattern or be apparently sporadic.",,TDP_43,,,,,,46236299,C2718017,,,,,,,1
C228S - Patient,,"C228S is a pathogenic variant in the LRRK2 gene (PARK8) associated with autosomal dominant Parkinson's disease. It is referenced in various genetic databases, including UniProt (VAR_054740), ClinGen (CA343671), ClinVar (RCV000032505), ExAC, TOPMed, dbSNP, and gnomAD (rs56108242).",,,,,c228ss,,,,,,,,,,,1
G2019S - Patient,,"G2019S is a pathogenic variant in the LRRK2 gene (PARK8) associated with Parkinson's disease. This variant leads to increased autophosphorylation and phosphorylation of a generic substrate, as well as heightened phosphorylation of PRDX3, which dysregulates mitochondrial function and promotes oxidative damage. It also increases phosphorylation of APP at T-743, contributing to neurotoxicity in dopaminergic neurons. The variant shows increased kinase activity in phosphorylating RAB10, but does not inhibit interaction with RAB29. Additionally, it causes a progressive reduction in neurite length and branching, along with the formation of spheroid-like inclusions in neuronal processes and membranous structures. It is also linked to lysosomal swelling and impaired retrograde transport of selective cargo between lysosomes and the Golgi apparatus. The variant induces apoptotic cell death mechanisms, but does not disrupt interaction with SEC16A. It is cataloged in several genetic databases, including UniProt (VAR_024958), ClinGen (CA339926), ClinVar (RCV000002017, RCV000325492, RCV000622347, RCV001195216, RCV001836691), 1000 Genomes, ESP, ExAC, TOPMed, dbSNP, and gnomAD (rs34637584).",,,,,g2019ss,,,,C5412392,,,,,,,1
G2385R - Patient,,"G2385R is a pathogenic variant in the LRRK2 gene (PARK8) associated with increased susceptibility to Parkinson's disease. Under oxidative stress, the variant protein exhibits heightened toxicity and is linked to an elevated rate of apoptosis. It shows reduced binding to synaptic vesicles, decreased WD domain homodimerization, and reduced autophosphorylation at Ser-935, while retaining interaction with SEC16A. The variant also displays increased phosphorylation activity of RAB8A and RAB10. It is cataloged in genetic databases including UniProtKB (VAR_024964), ClinGen (CA343677), ClinVar (RCV000032508, RCV001449818), COSMIC (COSM431072), 1000 Genomes, ESP, ExAC, TOPMed, dbSNP, and gnomAD (rs34778348).",,,,,g2385rs,,,,,,,,,,,1
